"Fault1" "Fault2" "Fault3" "Fault4" "Fault5" "Fault6" "Fault7" "Fault8" "Fault9" "Fault10" "Fault11" "Fault12" "Fault13" "Fault14" "Fault15" "Fault16" "Fault17" "Fault18" "Fault19" "Fault20"
162 170 956 156 157 156 156 176 851 229 167 162 199 158 851 204 230 214 162 204
161 169 956 156 158 156 156 189 956 612 166 167 196 159 956 699 190 218 169 167
161 170 269 156 157 156 156 169 269 206 165 159 196 157 269 268 182 210 177 174
15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15
161 168 956 156 157 156 156 208 641 388 162 159 197 158 640 526 188 178 163 230
117 117 117 117 117 117 117 117 117 117 117 117 117 117 117 117 117 117 117 117
48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48
162 169 871 156 157 156 156 173 871 268 165 163 183 157 956 503 178 215 163 207
162 171 361 156 157 156 156 200 361 334 166 166 203 157 361 355 201 204 170 202
162 169 956 156 157 156 156 187 956 230 165 162 179 156 956 318 194 246 184 208
161 172 854 156 157 156 156 181 854 608 162 161 203 158 854 853 173 246 163 203
45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45
161 172 857 156 157 156 156 192 857 381 164 165 236 157 857 341 188 186 199 182
160 171 956 156 157 156 156 179 956 479 187 161 202 157 956 249 190 210 180 198
161 170 956 156 157 156 156 198 956 622 163 165 183 157 956 270 210 218 163 230
151 151 151 151 151 151 151 151 151 151 151 151 151 151 151 151 151 151 151 151
68 68 68 68 68 68 68 68 68 68 68 68 68 68 68 68 68 68 68 68
161 170 956 156 157 156 156 174 956 227 160 161 199 157 956 490 168 191 190 171
162 169 775 156 157 156 156 178 775 329 161 164 208 157 775 775 184 196 187 200
161 171 796 156 157 156 156 174 795 269 163 171 186 157 796 229 218 216 185 229
162 170 851 156 156 156 156 170 851 356 166 162 228 158 357 428 200 226 199 198
161 166 706 156 157 156 156 180 706 703 161 167 194 157 919 171 203 192 166 234
161 169 671 156 157 156 156 181 671 270 166 165 192 157 671 418 192 194 173 211
162 168 559 156 157 156 156 186 559 291 162 166 187 157 559 518 182 188 168 238
161 169 956 156 157 156 156 172 956 359 161 163 239 157 956 231 172 215 178 183
162 173 456 156 157 156 156 202 456 323 173 162 225 156 455 456 206 249 163 215
162 170 519 156 158 156 156 180 519 416 164 162 206 158 519 519 208 232 173 202
162 170 411 156 157 156 156 185 410 409 162 166 271 157 411 430 187 188 159 191
43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43 43
161 168 467 156 157 156 156 174 180 221 172 171 196 157 421 419 204 196 165 187
162 172 481 156 157 156 156 171 481 215 161 161 185 158 481 359 196 212 184 214
161 167 217 156 157 156 156 172 217 256 159 177 197 159 217 258 225 215 158 190
161 168 813 156 157 156 156 178 812 217 190 165 187 157 812 635 187 267 168 177
162 171 956 156 157 156 156 174 956 531 158 163 185 158 956 805 184 172 182 194
162 170 275 156 157 156 156 176 275 691 161 167 223 157 275 249 184 226 177 204
70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70
37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37
161 168 572 156 157 156 156 177 572 236 158 163 207 157 572 383 195 204 167 198
162 170 252 156 158 156 156 186 252 252 168 164 198 158 252 252 206 192 176 174
161 168 935 156 157 156 156 175 935 235 164 163 213 157 935 381 200 217 172 215
44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44 44
162 168 956 156 157 156 156 190 956 235 166 166 227 157 956 687 194 238 167 236
162 170 373 156 157 156 156 195 373 247 160 163 205 157 373 247 172 187 185 258
161 172 467 156 158 156 156 178 467 467 164 163 182 158 467 430 169 190 163 213
159 171 217 156 157 156 156 173 217 216 159 162 188 157 159 216 173 196 159 188
161 170 488 156 158 156 156 181 490 354 161 163 180 159 488 237 184 171 170 193
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
162 169 919 156 157 156 156 189 919 252 170 168 190 157 919 280 182 200 173 198
162 171 190 156 158 156 156 176 190 190 160 167 186 157 190 190 180 189 188 190
160 172 483 156 158 156 156 171 483 483 160 161 189 158 483 289 230 202 175 201
162 167 302 157 157 156 156 178 302 218 171 166 184 158 301 300 227 233 184 218
160 163 671 156 157 156 156 178 373 305 162 163 234 157 671 320 179 190 163 172
65 65 65 65 65 65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
161 168 956 156 157 156 156 177 956 378 174 163 196 157 956 617 168 189 164 207
160 172 279 156 157 156 156 183 557 423 161 161 233 158 279 279 226 222 184 199
162 170 956 156 157 156 156 187 956 746 165 163 194 157 956 427 195 212 166 220
162 170 956 156 157 156 156 181 956 251 159 166 193 158 540 461 171 224 159 196
161 171 525 156 157 156 156 175 525 268 160 163 181 157 525 331 167 178 167 180
74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139 139
161 169 315 156 157 156 156 171 315 447 171 171 275 158 315 315 202 176 204 205
161 169 215 156 157 157 156 169 215 214 159 161 193 157 214 214 215 201 162 214
163 169 672 156 157 156 156 181 672 251 165 163 196 157 672 463 185 260 201 203
159 167 419 156 156 156 156 171 201 201 161 166 180 157 419 201 172 275 185 191
162 173 722 156 157 156 156 181 725 722 163 165 209 157 363 363 180 224 176 208
119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119
162 169 956 156 158 156 156 186 956 399 160 169 212 158 355 719 211 170 173 196
162 168 397 157 157 156 156 174 397 396 161 159 250 157 397 401 189 182 166 177
162 168 499 156 157 156 156 175 374 373 169 161 248 157 499 374 179 191 166 194
161 169 956 156 157 156 156 184 956 237 164 165 194 157 956 443 183 258 167 210
161 170 187 156 158 156 156 182 187 187 161 171 187 157 187 187 189 187 186 179
163 169 922 156 157 156 156 174 922 262 167 161 212 157 956 262 175 212 196 186
162 171 218 156 157 156 156 172 296 218 161 161 198 157 296 218 201 194 178 215
161 169 956 156 157 156 156 179 956 369 160 162 183 157 956 531 201 178 241 230
162 170 194 156 157 156 156 174 194 194 162 167 194 157 194 194 179 194 165 194
161 167 956 156 157 156 156 175 882 279 162 164 191 157 956 723 174 176 166 190
161 172 206 156 157 156 156 177 206 206 179 163 200 158 206 483 208 206 173 206
161 169 798 156 157 156 156 178 798 508 168 159 202 158 798 508 187 176 165 202
157 157 157 156 157 156 156 157 157 157 157 157 157 156 157 157 157 157 157 157
162 167 446 156 157 156 156 172 447 204 160 162 201 158 446 445 188 194 177 202
162 172 241 156 157 156 156 187 241 241 163 164 197 157 241 241 186 185 217 184
162 167 513 156 157 156 156 174 861 239 163 162 184 156 513 246 231 191 167 215
162 168 298 156 157 156 156 181 298 331 159 164 215 158 298 331 198 212 161 203
71 71 71 71 71 71 71 71 71 71 71 71 71 71 71 71 71 71 71 71
161 171 274 156 157 156 156 180 273 243 163 169 206 158 273 207 170 236 191 228
161 168 228 156 158 156 156 171 228 228 166 164 210 158 228 226 215 212 172 179
161 171 651 156 158 156 156 171 651 400 164 166 190 157 652 377 186 203 181 215
161 170 187 156 157 156 156 176 187 187 161 170 187 158 187 187 187 187 186 187
160 167 818 156 157 156 156 177 818 490 164 160 206 157 956 643 176 226 185 184
162 171 383 156 157 156 156 184 383 242 164 164 204 158 383 383 203 198 186 169
160 169 956 156 157 156 156 174 956 258 158 163 178 158 956 207 170 240 161 174
162 169 479 156 158 156 156 177 479 208 159 163 185 158 208 208 171 175 163 242
160 166 168 156 157 156 156 168 168 168 165 168 168 157 168 168 168 168 164 168
161 168 163 156 157 156 156 163 163 163 163 162 163 157 163 163 163 163 160 163
162 170 268 156 158 156 156 176 268 268 162 166 172 159 268 268 175 244 164 188
161 170 956 156 158 156 156 178 956 443 163 164 198 158 843 310 219 240 184 206
159 171 956 156 157 156 156 175 956 215 165 162 200 157 956 956 179 263 159 191
162 170 486 156 158 156 156 189 486 241 160 165 201 157 486 344 216 194 165 193
162 170 612 156 157 156 156 172 409 236 158 164 216 158 464 378 174 199 172 211
162 171 665 156 157 156 156 169 665 376 165 163 245 158 664 347 168 188 164 208
90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
160 169 204 156 157 156 156 201 203 204 159 169 187 157 203 203 187 202 180 196
