"max_pca1" "max_pca2" "max_pca3" "max_pca5" "max_pca10" "max_pca20" "max_pca40" "min_pca1" "min_pca2" "min_pca3" "min_pca5" "min_pca10" "min_pca20" "min_pca40" "tpca0.8" "tpca0.9" "tpca0.95" "tpca0.99" "tpca0.995" "tpca0.999"
"1" 184 179 178 174 173 173 172 166 169 168 167 167 168 165 166 167 168 162 162 162
"2" 119 57 95 98 94 173 172 169 171 169 169 169 169 166 167 169 169 162 162 162
"3" 181 177 177 175 174 173 172 168 170 169 168 168 170 166 167 169 169 162 161 162
"4" 180 48 176 173 173 172 172 171 170 169 169 169 169 166 167 169 169 163 163 163
"5" 59 49 64 73 86 91 172 170 171 170 170 169 169 166 167 168 168 163 162 162
"6" 185 179 177 173 172 171 171 167 171 169 169 169 169 166 166 168 168 163 162 162
"7" 187 136 176 173 173 172 172 169 171 169 169 168 169 166 167 168 168 162 161 162
"8" 186 180 177 174 174 172 171 170 171 170 169 169 170 166 168 169 169 164 163 163
"9" 43 33 43 82 100 107 127 168 171 170 171 170 170 165 167 168 168 163 163 163
"10" 131 74 132 174 134 172 171 167 170 170 169 169 170 166 166 168 169 163 162 162
"11" 186 181 179 174 174 173 172 171 172 171 171 170 171 165 168 170 170 163 163 163
"12" 185 181 179 174 174 173 172 169 171 170 170 169 170 166 167 168 168 163 162 162
"13" 183 179 178 174 174 172 172 167 170 168 168 168 170 166 166 168 169 162 162 162
"14" 186 90 177 174 173 171 171 171 173 171 172 170 170 166 168 169 170 163 163 163
"15" 188 50 178 175 174 173 172 167 171 169 169 169 170 166 166 168 169 164 163 163
"16" 182 177 176 174 173 172 172 168 170 169 169 169 169 166 166 168 169 163 162 162
"17" 45 75 175 173 173 172 171 167 169 168 167 168 168 165 165 167 167 161 161 161
"18" 195 181 178 174 173 172 172 167 170 169 169 168 169 166 165 168 168 162 161 161
"19" 184 180 178 173 172 172 171 172 172 170 171 171 171 166 168 169 170 164 163 163
"20" 118 45 121 130 173 172 172 166 170 169 169 169 170 166 167 169 169 164 163 163
"21" 190 180 178 174 174 172 172 167 170 169 169 168 170 165 168 170 170 162 162 162
"22" 182 84 176 173 172 171 170 165 168 168 168 167 169 166 166 168 168 162 162 162
"23" 65 49 62 70 77 95 133 168 171 170 170 170 170 166 167 168 169 163 162 163
"24" 190 185 179 174 174 173 172 167 169 168 169 168 170 166 166 168 169 160 160 160
"25" 191 150 179 175 174 172 172 167 170 169 169 168 169 165 167 168 168 162 161 162
"26" 40 41 109 112 125 130 172 168 169 168 167 168 169 166 165 167 168 161 161 161
"27" 149 138 178 174 174 173 172 170 172 171 171 170 171 166 168 169 169 163 163 163
"28" 184 131 178 173 173 172 171 169 170 169 170 169 169 166 167 168 168 163 162 162
"29" 131 91 141 172 172 171 171 169 171 170 170 169 170 166 168 169 169 163 163 163
"30" 188 82 108 174 174 172 172 170 172 170 170 169 169 166 168 168 168 162 162 162
"31" 72 34 77 84 89 100 173 169 172 170 170 170 170 166 167 168 169 163 162 162
"32" 184 178 178 174 173 172 172 169 171 170 169 169 170 166 167 168 168 163 162 162
"33" 184 157 177 173 173 172 171 171 172 171 171 170 170 166 168 169 169 164 163 163
"34" 189 180 178 174 174 173 173 169 170 170 170 169 169 166 167 169 168 163 162 162
"35" 89 64 85 95 96 109 130 169 171 170 169 169 170 166 167 169 169 163 162 163
"36" 181 50 177 174 173 172 172 172 173 171 170 169 170 166 168 170 170 163 161 162
"37" 192 183 179 174 174 173 172 165 168 167 167 168 169 165 165 167 167 163 162 162
"38" 129 105 156 174 174 172 171 170 170 169 168 169 170 166 167 169 168 160 160 160
"39" 188 176 176 173 173 172 172 169 171 170 170 169 170 166 167 169 168 163 162 162
"40" 186 82 178 174 174 172 172 168 170 169 169 169 169 166 167 168 169 162 162 162
"41" 185 180 178 175 174 173 172 169 170 170 170 169 170 166 167 169 169 164 163 163
"42" 87 65 87 126 124 130 134 168 170 169 168 168 169 166 166 167 168 161 161 161
"43" 191 182 178 174 174 173 172 171 171 170 170 169 170 166 167 169 169 162 161 162
"44" 189 130 178 173 173 172 171 168 170 169 168 168 169 166 167 168 169 162 162 161
"45" 84 59 92 112 126 132 172 163 168 168 169 169 169 166 165 167 168 161 161 161
"46" 77 47 64 100 109 172 172 169 171 170 171 170 171 166 167 168 169 163 162 162
"47" 181 179 179 175 175 173 173 169 171 169 169 169 169 166 167 167 168 163 162 162
"48" 191 179 177 174 173 172 171 167 170 170 170 169 170 165 166 168 168 162 161 161
"49" 187 181 178 175 174 173 172 170 172 170 170 169 170 166 167 169 169 162 162 162
"50" 187 180 178 174 174 173 173 168 170 169 170 169 169 166 167 168 169 163 163 163
"51" 184 181 178 173 173 172 171 171 173 170 171 170 170 166 167 169 169 164 163 163
"52" 190 182 179 174 173 172 171 167 170 169 170 169 169 165 167 168 168 163 162 162
"53" 108 70 89 95 173 172 171 168 171 170 170 170 170 165 167 168 169 163 163 163
"54" 157 138 178 153 174 173 173 169 170 169 169 169 169 166 166 168 168 162 161 162
"55" 187 178 177 175 174 173 172 167 170 168 168 168 169 166 166 168 169 162 161 162
"56" 192 179 177 172 172 172 171 168 170 170 170 168 168 165 167 168 168 162 162 162
"57" 86 61 78 87 174 173 173 168 171 169 169 169 170 165 167 169 168 162 161 162
"58" 87 77 102 108 143 172 172 169 171 169 169 168 169 166 166 168 168 162 162 162
"59" 132 177 177 174 174 173 173 169 170 169 169 169 170 165 167 168 168 162 162 162
"60" 190 181 178 175 175 174 173 170 171 170 170 169 170 166 167 169 169 163 162 162
"61" 191 102 177 174 173 172 171 170 172 170 169 169 170 165 167 169 169 160 160 160
"62" 189 182 178 173 173 172 172 171 171 170 171 170 170 165 168 169 169 163 162 162
"63" 107 62 97 107 124 134 139 167 169 168 169 169 169 166 166 168 168 162 162 162
"64" 182 180 179 174 173 171 171 169 172 169 169 169 170 166 166 168 168 163 162 162
"65" 190 179 177 174 174 172 172 170 170 169 168 168 170 165 167 169 168 162 162 162
"66" 184 62 85 174 173 172 171 170 171 169 169 169 170 165 167 168 168 163 162 162
"67" 184 179 178 175 174 173 173 168 169 168 168 168 169 166 166 168 169 163 163 163
"68" 143 179 178 174 174 173 173 167 169 167 168 168 169 165 166 167 168 162 162 162
"69" 111 85 108 118 116 137 143 169 171 169 170 169 170 166 167 168 168 161 161 161
"70" 189 180 178 174 173 172 172 170 172 170 171 169 170 166 168 169 169 163 162 162
"71" 190 181 178 174 173 173 172 171 173 171 171 170 170 166 168 169 169 163 162 162
"72" 188 182 179 175 174 173 172 169 171 170 170 170 170 166 167 169 169 161 161 161
"73" 119 125 176 173 173 172 172 169 172 170 170 169 169 165 167 168 168 162 161 161
"74" 118 50 107 118 122 126 143 169 170 169 168 168 169 166 167 168 169 162 161 162
"75" 186 180 179 174 174 173 173 165 169 169 170 169 169 165 166 167 168 164 163 163
"76" 77 100 177 173 173 171 171 167 169 168 169 168 169 166 166 168 168 162 162 162
"77" 192 176 177 175 174 173 172 165 169 168 168 168 169 166 166 168 168 161 161 161
"78" 160 69 143 154 174 173 172 168 170 169 169 169 170 166 166 168 169 163 162 162
"79" 77 86 177 173 173 172 171 170 171 169 169 169 169 166 167 168 169 162 162 161
"80" 185 65 178 173 173 171 171 171 172 171 171 170 170 165 167 169 169 164 163 163
"81" 87 52 69 79 85 94 147 167 170 169 170 169 170 166 166 169 169 163 162 162
"82" 99 67 110 129 145 130 172 171 172 170 169 169 169 166 166 169 169 163 162 162
"83" 95 95 176 173 172 171 171 169 171 169 168 168 169 167 167 168 168 162 162 162
"84" 109 62 78 86 112 172 171 171 172 171 171 170 170 166 168 169 170 163 163 163
"85" 68 59 78 88 101 171 171 168 171 170 170 169 170 165 168 169 169 163 162 162
"86" 185 178 177 173 173 171 171 168 170 168 166 167 168 164 165 167 167 159 159 158
"87" 134 110 135 141 142 157 171 167 170 169 170 170 170 166 168 169 170 164 163 163
"88" 183 178 177 173 172 171 171 171 173 170 170 169 169 166 167 168 168 162 161 161
"89" 184 72 91 98 112 171 171 170 171 170 170 169 169 166 167 169 169 163 163 163
"90" 194 49 178 175 174 173 172 169 171 169 169 169 170 166 167 169 169 163 162 163
"91" 184 144 177 173 173 172 172 170 171 170 170 169 170 166 168 169 169 163 162 162
"92" 186 180 179 175 174 173 173 170 172 170 169 169 170 166 167 169 169 164 163 163
"93" 181 178 176 172 172 171 171 168 169 168 169 169 169 166 166 168 168 163 162 162
"94" 99 51 90 123 128 128 130 168 171 169 170 169 171 165 167 169 169 164 163 163
"95" 182 177 176 173 173 172 171 171 172 170 169 168 169 166 168 168 169 163 162 162
"96" 185 66 177 174 173 172 172 169 171 169 169 169 170 166 167 169 169 164 163 163
"97" 124 53 177 174 173 172 172 168 169 168 168 168 168 165 165 166 168 160 160 160
"98" 188 182 179 176 175 174 174 169 171 169 169 169 170 165 168 169 169 164 163 163
"99" 183 177 176 174 174 173 172 171 172 170 170 169 169 166 167 168 168 162 162 162
"100" 189 60 178 175 175 174 173 168 171 170 171 170 170 166 168 169 169 164 163 163
"101" 187 182 178 174 174 172 172 172 174 172 172 171 171 166 168 170 170 164 163 163
"102" 189 90 177 173 173 172 171 169 172 170 171 170 170 166 168 169 169 163 162 162
"103" 186 178 177 174 173 173 172 167 170 169 170 169 169 166 167 168 168 163 162 162
"104" 187 53 178 174 173 172 172 173 173 172 170 170 171 166 168 170 170 163 163 163
"105" 188 69 178 174 174 173 173 169 172 170 170 169 170 166 167 169 169 161 160 160
"106" 179 178 177 174 174 172 172 169 171 170 171 170 170 166 167 169 169 162 162 162
"107" 89 45 93 175 98 173 172 170 172 171 172 171 171 166 168 170 170 164 162 163
"108" 58 48 178 174 174 172 172 170 171 170 170 169 169 166 167 169 169 162 162 162
"109" 194 175 176 173 173 172 171 170 171 170 170 170 170 165 168 169 169 163 163 163
"110" 185 77 179 175 174 173 155 171 172 171 171 169 170 166 167 169 169 162 162 162
"111" 184 181 177 173 173 172 172 171 171 169 168 169 169 166 167 168 169 162 161 161
"112" 189 181 178 174 174 172 172 173 173 171 172 171 171 165 169 170 170 162 162 162
"113" 188 178 177 174 174 172 171 167 169 168 168 167 169 166 166 167 167 163 162 162
"114" 190 179 177 174 174 173 172 170 172 170 169 169 170 166 168 169 169 162 161 161
"115" 43 44 155 155 122 109 117 165 169 168 169 168 170 165 166 168 169 162 161 161
"116" 185 122 145 156 154 173 172 167 169 168 168 169 170 165 166 168 168 163 162 162
