"max_pca1" "max_pca2" "max_pca3" "max_pca5" "max_pca10" "max_pca20" "max_pca40" "min_pca1" "min_pca2" "min_pca3" "min_pca5" "min_pca10" "min_pca20" "min_pca40" "tpca0.8" "tpca0.9" "tpca0.95" "tpca0.99" "tpca0.995" "tpca0.999"
"1" 201 192 192 180 179 178 177 156 157 157 156 156 156 156 156 156 156 156 156 156
"2" 119 57 95 98 94 181 179 157 157 158 157 157 157 157 157 157 156 156 156 156
"3" 213 188 191 185 184 182 180 157 157 158 157 157 157 157 157 156 156 156 156 156
"4" 202 48 191 182 182 181 180 157 157 157 157 157 157 156 157 156 156 156 156 156
"5" 59 49 64 73 86 91 177 157 157 157 157 157 157 157 157 156 156 156 156 156
"6" 207 190 189 179 178 177 176 157 157 157 157 157 157 156 157 156 156 156 156 156
"7" 208 136 187 181 181 178 178 157 157 157 157 157 157 156 156 156 156 156 156 156
"8" 211 195 193 183 182 180 178 157 157 158 157 157 157 157 157 157 156 156 156 156
"9" 43 33 43 82 100 107 127 157 157 157 157 157 157 157 157 156 156 156 156 156
"10" 131 74 132 179 134 177 175 157 157 157 157 157 156 156 156 156 156 156 156 156
"11" 206 195 192 182 180 178 177 157 157 157 157 157 157 157 157 156 156 156 156 156
"12" 203 195 193 181 180 179 178 156 157 157 157 156 157 156 156 156 156 156 156 156
"13" 204 194 193 184 183 181 180 157 157 157 157 157 157 157 157 156 156 156 156 156
"14" 204 90 190 181 181 178 176 157 157 157 157 157 157 157 157 156 156 156 156 156
"15" 203 50 194 182 182 180 179 157 157 157 157 157 157 156 157 156 156 156 156 156
"16" 214 188 189 183 182 180 179 157 157 157 157 156 157 156 157 156 156 156 156 156
"17" 45 75 190 184 182 179 177 157 157 157 157 157 157 156 156 156 156 156 156 156
"18" 203 179 187 178 178 176 176 157 157 157 157 156 157 156 156 156 156 156 156 156
"19" 204 194 190 180 179 177 177 157 157 157 157 156 156 156 157 156 156 156 156 156
"20" 118 45 121 130 179 178 177 157 157 158 157 157 157 157 157 157 156 156 156 156
"21" 207 184 190 182 181 178 177 157 157 157 157 157 157 156 157 156 156 156 156 156
"22" 208 84 188 181 180 177 176 157 157 157 157 157 157 156 157 156 156 156 156 156
"23" 65 49 62 70 77 95 133 157 157 157 157 157 157 157 157 156 156 156 156 156
"24" 175 196 193 179 179 177 177 156 157 157 156 156 157 156 156 156 156 156 156 156
"25" 202 150 188 180 178 176 176 157 157 157 157 156 157 156 157 156 156 156 156 156
"26" 40 41 109 112 125 130 178 156 157 157 156 156 156 156 156 156 156 156 156 156
"27" 149 138 192 181 180 179 178 157 157 157 157 157 157 157 157 156 156 156 156 156
"28" 202 131 192 181 181 179 177 157 157 157 157 157 157 157 157 156 156 156 156 156
"29" 131 91 141 179 178 177 176 157 157 157 157 157 157 156 157 156 156 156 156 156
"30" 205 82 108 180 180 178 159 157 157 157 157 156 157 156 156 156 156 156 156 156
"31" 72 34 77 84 89 100 178 157 157 157 157 156 156 156 157 156 156 156 156 156
"32" 205 191 191 182 181 179 178 157 157 158 157 157 157 157 157 157 156 156 156 156
"33" 204 157 189 180 180 177 177 157 157 158 157 157 157 157 157 157 156 156 156 156
"34" 204 189 191 180 179 178 178 157 157 157 157 156 157 156 157 156 156 156 156 156
"35" 89 64 85 95 96 109 130 156 157 157 157 156 157 156 156 156 156 156 156 156
"36" 207 50 191 183 183 182 181 157 157 157 157 157 157 157 157 156 156 156 156 156
"37" 204 190 192 181 180 179 178 156 157 157 157 157 157 156 157 156 156 156 156 156
"38" 129 105 156 182 180 177 177 157 157 157 157 157 157 156 157 156 156 156 156 156
"39" 207 180 184 179 179 177 177 157 157 158 157 157 157 157 157 156 156 156 156 156
"40" 202 82 195 182 182 180 180 157 157 157 157 157 157 156 157 156 156 156 156 156
"41" 205 194 194 183 182 180 179 157 157 157 157 157 157 156 157 156 156 156 156 156
"42" 87 65 87 126 124 130 134 157 157 157 156 156 156 156 156 156 156 156 156 156
"43" 200 179 186 178 178 177 176 157 157 157 157 156 157 156 156 156 156 156 156 156
"44" 204 130 189 179 179 178 177 157 157 157 157 157 157 156 157 156 156 156 156 156
"45" 84 59 92 112 126 132 176 156 157 157 157 156 157 156 156 156 156 156 156 156
"46" 77 47 64 100 109 178 177 157 157 157 157 157 157 157 157 156 156 156 156 156
"47" 201 193 194 185 185 183 182 157 157 158 157 157 157 157 157 157 156 156 156 156
"48" 209 181 184 180 180 178 177 157 157 157 157 156 157 156 156 156 156 156 156 156
"49" 208 195 194 184 183 181 179 157 157 157 157 157 157 156 156 156 156 156 156 156
"50" 204 192 191 182 181 179 179 157 157 157 157 157 157 156 157 156 156 156 156 156
"51" 202 196 192 181 181 179 178 157 157 157 157 157 157 157 157 157 156 156 156 156
"52" 204 190 192 181 180 177 177 157 157 157 157 157 157 156 157 156 156 156 156 156
"53" 108 70 89 95 180 178 177 157 157 157 157 157 157 157 157 156 156 156 156 156
"54" 157 138 194 153 182 180 180 157 157 157 157 157 157 156 157 156 156 156 156 156
"55" 212 187 191 184 182 180 179 157 157 158 157 157 157 157 157 156 156 156 156 156
"56" 204 179 184 177 177 176 176 157 157 157 157 156 157 156 156 156 156 156 156 156
"57" 86 61 78 87 181 179 178 157 157 157 157 157 157 157 157 156 156 156 156 156
"58" 87 77 102 108 143 179 178 157 157 157 157 157 157 156 157 156 156 156 156 156
"59" 132 187 188 181 181 180 179 157 157 157 157 157 157 157 157 156 156 156 156 156
"60" 202 187 191 182 182 180 179 157 157 158 157 157 157 157 157 156 156 156 156 156
"61" 206 102 183 179 179 178 177 157 157 157 157 157 157 156 156 156 156 156 156 156
"62" 203 192 191 180 179 177 177 157 157 157 156 156 156 156 156 156 156 156 156 156
"63" 107 62 97 107 124 134 139 157 157 157 157 157 157 156 156 156 156 156 156 156
"64" 201 195 193 184 182 180 179 157 157 158 157 157 157 157 157 157 156 156 156 156
"65" 207 185 190 181 180 179 178 157 157 157 157 156 157 156 157 156 156 156 156 156
"66" 211 62 85 184 183 180 179 157 158 158 157 157 157 157 157 157 156 156 156 156
"67" 208 192 192 184 184 182 181 157 157 157 157 157 157 157 158 157 156 156 156 156
"68" 143 190 192 182 181 180 180 157 157 157 157 156 157 156 156 156 156 156 156 156
"69" 111 85 108 118 116 137 143 157 157 157 157 157 157 156 156 156 156 156 156 156
"70" 202 180 188 178 178 177 176 157 157 157 157 157 157 156 156 156 156 156 156 156
"71" 206 190 192 181 181 179 177 157 157 157 157 156 156 156 156 156 156 156 156 156
"72" 203 193 193 181 180 178 177 157 157 157 157 157 157 156 156 156 156 156 156 156
"73" 119 125 185 180 180 178 177 157 157 157 157 157 157 156 157 156 156 156 156 156
"74" 118 50 107 118 122 126 143 157 157 157 157 157 157 156 157 156 156 156 156 156
"75" 204 191 192 181 180 179 178 157 157 157 157 157 157 156 156 156 156 156 156 156
"76" 77 100 180 177 177 175 175 157 157 157 157 157 157 156 156 156 156 156 156 156
"77" 213 183 186 183 183 181 180 157 157 157 157 157 157 157 157 156 156 156 156 156
"78" 206 69 143 154 180 179 178 157 157 157 157 157 157 157 157 156 156 156 156 156
"79" 77 86 186 179 179 178 177 157 157 157 157 156 157 156 156 156 156 156 156 156
"80" 202 65 191 179 178 176 176 157 157 157 157 157 157 156 157 156 156 156 156 156
"81" 87 52 69 79 85 94 147 157 157 158 157 157 157 157 158 157 156 156 156 156
"82" 99 67 110 129 145 130 177 157 157 157 157 157 157 156 157 156 156 156 156 156
"83" 95 95 189 180 180 178 178 157 157 157 156 156 157 156 156 156 156 156 156 156
"84" 109 62 78 86 112 178 177 157 158 158 157 157 157 157 157 157 156 156 156 156
"85" 68 59 78 88 101 177 176 157 157 158 157 157 157 157 157 157 156 156 156 156
"86" 205 187 191 182 181 179 178 157 157 157 157 157 157 156 157 156 156 156 156 156
"87" 134 110 135 141 142 157 177 156 157 157 157 157 157 156 157 156 156 156 156 156
"88" 206 191 188 179 178 176 176 157 157 158 157 157 157 156 156 156 156 156 156 156
"89" 202 72 91 98 112 177 176 157 157 157 157 156 157 156 156 156 156 156 156 156
