data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 1-2-3-4-5-6-7-8-9-10 495 200 96 21 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 22.38645 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 23.86444 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 25.44001 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 27.11959 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 28.91007 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 30.81876 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 32.85346 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 35.02249 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 37.33473 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 39.79962 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 42.42725 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 45.22836 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 48.21441 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 51.3976 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 54.79094 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 58.40832 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 62.26453 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 66.37533 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 70.75753 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 75.42905 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 80.40899 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 85.71771 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 91.37692 150 120 180
312 1-2-3-4-5-6-7-8-9-10 495 200 96 97.40976 155 124 186
312 1-2-3-4-5-6-7-8-9-10 495 200 96 103.83881 155 124 186
312 1-2-3-4-5-6-7-8-9-10 495 200 96 110.69217 173 138 208
312 1-2-3-4-5-6-7-8-9-10 495 200 96 117.98928 166 132 200
312 1-2-3-4-5-6-7-8-9-10 495 200 96 125.77099 187 149 225
312 1-2-3-4-5-6-7-8-9-10 495 200 96 134.05457 197 157 237
312 1-2-3-4-5-6-7-8-9-10 495 200 96 142.87795 236 188 284
312 1-2-3-4-5-6-7-8-9-10 495 200 96 152.25812 267 213 321
312 1-2-3-4-5-6-7-8-9-10 495 200 96 162.23381 300 240 360
312 1-2-3-4-5-6-7-8-9-10 495 200 96 172.84006 533 426 640
312 1-2-3-4-5-6-7-8-9-10 495 200 96 183.9665 686 548 824
312 1-2-3-4-5-6-7-8-9-10 495 200 96 195.68813 720 576 864
312 1-2-3-4-5-6-7-8-9-10 495 200 96 208.12801 1029 823 1235
312 1-2-3-4-5-6-7-8-9-10 495 200 96 221.08207 2880 2303 3457
312 1-2-3-4-5-6-7-8-9-10 495 200 96 233.08231 4800 3839 5761
312 1-2-3-4-5-6-7-8-9-10 495 200 96 243.80911 3600 2879 4321
312 1-2-3-4-5-6-7-8-9-10 495 200 96 256.28794 14400 11519 17281
312 1-2-3-4-5-6-7-8-9-10 495 200 384 256.28794 4800 4319 5281
312 1-2-3-4-5-6-7-8-9-10 495 200 384 262.18532 6400 5759 7041
312 1-2-3-4-5-6-7-8-9-10 495 200 384 267.31626 5760 5183 6337
312 1-2-3-4-5-6-7-8-9-10 495 200 384 272.91553 4800 4319 5281
312 1-2-3-4-5-6-7-8-9-10 495 200 384 279.19552 7200 6479 7921
312 1-2-3-4-5-6-7-8-9-10 495 200 384 284.17901 6400 5759 7041
312 1-2-3-4-5-6-7-8-9-10 495 200 384 289.74037 11520 10367 12673
312 1-2-3-4-5-6-7-8-9-10 495 200 384 292.22029 28800 25919 31681
312 1-2-3-4-5-6-7-8-9-10 495 200 384 283.86217 19200 17279 21121
312 1-2-3-4-5-6-7-8-9-10 495 200 384 281.60348 28800 25919 31681
312 1-2-3-4-5-6-7-8-9-10 495 200 384 273.54901 9600 8639 10561
312 1-2-3-4-5-6-7-8-9-10 495 200 384 277.01985 9600 8639 10561
312 1-2-3-4-5-6-7-8-9-10 495 200 384 280.53472 8229 7405 9053
312 1-2-3-4-5-6-7-8-9-10 495 200 384 284.92132 28800 25919 31681
312 1-2-3-4-5-6-7-8-9-10 495 200 384 276.77196 11520 10367 12673
312 1-2-3-4-5-6-7-8-9-10 495 200 384 279.14089 19200 17279 21121
312 1-2-3-4-5-6-7-8-9-10 495 200 384 276.91977 19200 17279 21121
312 1-2-3-4-5-6-7-8-9-10 495 200 384 274.71632 9600 8639 10561
312 1-2-3-4-5-6-7-8-9-10 495 200 384 278.20197 19200 17279 21121
312 1-2-3-4-5-6-7-8-9-10 495 200 384 275.98832 9600 8639 10561
312 1-2-3-4-5-6-7-8-9-10 495 200 384 279.49011 11520 10367 12673
312 1-2-3-4-5-6-7-8-9-10 495 200 384 281.8823 19200 17279 21121
312 1-2-3-4-5-6-7-8-9-10 495 200 384 279.63937 8229 7405 9053
312 1-2-3-4-5-6-7-8-9-10 495 200 384 284.01196 28800 25919 31681
312 1-2-3-4-5-6-7-8-9-10 495 200 384 275.88861 19200 17279 21121
312 1-2-3-4-5-6-7-8-9-10 495 200 384 273.69337 19200 17279 21121
312 1-2-3-4-5-6-7-8-9-10 495 200 384 271.51559 7200 6479 7921
312 1-2-3-4-5-6-7-8-9-10 495 200 384 276.362 19200 17279 21121
312 1-2-3-4-5-6-7-8-9-10 495 200 384 274.16299 9600 8639 10561
312 1-2-3-4-5-6-7-8-9-10 495 200 384 277.64162 6400 5759 7041
312 1-2-3-4-5-6-7-8-9-10 495 200 384 283.07504 9600 8639 10561
312 1-2-3-4-5-6-7-8-9-10 495 200 384 286.66674 14400 12959 15841
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 286.66674 14409 13688 15130
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 287.00303 20959 19911 22007
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 285.31836 20959 19911 22007
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 283.64357 16468 15644 17292
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 283.34834 12134 11527 12741
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 284.37387 19212 18251 20173
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 283.23882 10979 10430 11528
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 284.61573 10024 9522 10526
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 286.2916 16468 15644 17292
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 285.99361 14409 13688 15130
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 286.32911 14409 13688 15130
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 286.66501 17735 16848 18622
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 285.97609 17735 16848 18622
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 285.28882 19212 18251 20173
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 284.15012 20959 19911 22007
312 1-2-3-4-5-6-7-8-9-10 495 200 1537 282.48219 15370 14601 16139
