data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 1 495 200 96 10.2 150 120 180
312 1 495 200 96 10.87342 150 120 180
312 1 495 200 96 11.5913 150 120 180
312 1 495 200 96 12.35657 150 120 180
312 1 495 200 96 13.17237 150 120 180
312 1 495 200 96 14.04203 150 120 180
312 1 495 200 96 14.96911 150 120 180
312 1 495 200 96 15.95739 150 120 180
312 1 495 200 96 17.01092 150 120 180
312 1 495 200 96 18.13401 150 120 180
312 1 495 200 96 19.33125 150 120 180
312 1 495 200 96 20.60752 150 120 180
312 1 495 200 96 21.96806 152 121 183
312 1 495 200 96 23.41824 150 120 180
312 1 495 200 96 24.96435 157 125 189
312 1 495 200 96 26.61178 162 129 195
312 1 495 200 96 28.36735 166 132 200
312 1 495 200 96 30.23826 182 145 219
312 1 495 200 96 32.23047 189 151 227
312 1 495 200 96 34.35297 203 162 244
312 1 495 200 96 36.61317 215 172 258
312 1 495 200 96 39.02019 232 185 279
312 1 495 200 96 41.5826 313 250 376
312 1 495 200 96 44.2988 389 311 467
312 1 495 200 96 47.17793 436 348 524
312 1 495 200 96 50.23466 655 524 786
312 1 495 200 96 53.44211 686 548 824
312 1 495 200 96 56.84724 1600 1280 1920
312 1 495 200 96 60.24585 2057 1645 2469
312 1 495 200 96 63.72922 2057 1645 2469
312 1 495 200 96 67.414 2057 1645 2469
312 1 495 200 96 71.31184 4800 3839 5761
312 1 495 200 96 74.59372 1600 1280 1920
312 1 495 200 96 79.0533 14400 11519 17281
312 1 495 200 384 79.0533 7200 6479 7921
312 1 495 200 384 80.46436 8229 7405 9053
312 1 495 200 384 81.72254 6400 5759 7041
312 1 495 200 384 83.32184 6400 5759 7041
312 1 495 200 384 84.95244 9600 8639 10561
312 1 495 200 384 86.03034 7200 6479 7921
312 1 495 200 384 87.56593 11520 10367 12673
312 1 495 200 384 88.31542 6400 5759 7041
312 1 495 200 384 90.04374 7200 6479 7921
312 1 495 200 384 91.65098 28800 25919 31681
312 1 495 200 384 89.02956 28800 25919 31681
312 1 495 200 384 86.48312 9600 8639 10561
312 1 495 200 384 87.58044 14400 12959 15841
312 1 495 200 1537 87.58044 8539 8112 8966
312 1 495 200 1537 88.23597 10979 10430 11528
312 1 495 200 1537 88.66491 16468 15644 17292
312 1 495 200 1537 88.57262 13562 12884 14240
312 1 495 200 1537 88.7572 15370 14601 16139
