data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 42.6 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 45.41252 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 48.41072 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 51.60687 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 55.01403 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 58.64614 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 62.51805 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 66.64558 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 71.04562 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 75.73616 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 80.73638 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 86.06671 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 91.74897 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 97.80637 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 104.2637 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 111.14734 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 118.48546 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 126.30805 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 134.64709 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 143.5367 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 153.01321 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 163.11537 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 173.88449 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 185.36461 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 197.60266 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 210.64868 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 224.55603 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 239.38155 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 255.18588 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 272.03364 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 289.99371 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 309.13953 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 329.54939 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 351.30674 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 374.50054 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 399.22563 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 425.5831 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 453.68074 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 483.63342 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 515.56363 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 549.60192 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 585.88746 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 624.56864 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 665.8036 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 709.76095 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 756.62044 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 806.57366 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 859.82487 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 916.5918 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 977.10657 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 1041.61662 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 1110.38571 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 1183.69505 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286-267-261-295-263-246-288-243-229-244-271-298-300-260 495 200 96 1261.84438 150 120 180
