data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 27 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 28.78258 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 30.68285 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 32.70858 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 34.86805 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 37.17009 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 39.62411 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 42.24016 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 45.02892 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 48.00179 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 51.17094 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 54.54933 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 58.15075 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 61.98996 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 66.08263 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 70.4455 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 75.09642 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 80.0544 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 85.33971 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 90.97396 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 96.9802 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 103.38298 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 110.20848 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 117.48461 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 125.24112 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 133.50973 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 142.32424 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 151.7207 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 161.73753 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 172.41569 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 183.79883 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 195.93351 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 208.86933 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 222.6592 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 237.35949 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 253.03033 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 269.73577 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 287.54413 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 306.52823 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 326.76568 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 348.33924 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 371.33713 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 395.85336 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 421.9882 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 449.84849 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 479.54817 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 511.20866 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 544.95942 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 580.93847 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 619.2929 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 660.17955 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 703.76559 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 750.22926 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 799.76052 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 852.56192 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 908.84934 150 120 180
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 968.85294 152 121 183
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1032.80973 152 121 183
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1100.9885 157 125 189
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1173.64427 167 133 201
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1251.04422 185 148 222
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1333.45171 209 167 251
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1421.14982 244 195 293
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1514.4017 300 240 360
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1613.40775 758 606 910
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1715.70821 600 480 720
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1825.66112 3600 2879 4321
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1919.10356 2057 1645 2469
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 2030.06489 7200 5759 8641
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 2102.53602 72000 57597 86403
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1591.59716 533 426 640
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1694.05495 1108 886 1330
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1798.91877 2057 1645 2469
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1902.93109 3600 2879 4321
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 2000.32842 3600 2879 4321
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 2102.71083 2880 2303 3457
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 2216.84507 72000 57597 86403
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1678.12788 686 548 824
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1785.05169 758 606 910
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1898.23548 7200 5759 8641
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1966.00045 3600 2879 4321
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 2066.62585 72000 57597 86403
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1564.41355 436 348 524
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1665.77409 626 500 752
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1772.34064 900 720 1080
312 250-254-236-239-249-285-258-292-273-270-242-287-272-262-286 495 200 96 1883.63601 2057 1645 2469
