data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 45 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 47.97097 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 51.13808 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 54.5143 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 58.11341 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 61.95015 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 66.04019 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 70.40026 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 75.04819 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 80.00299 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 85.28491 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 90.91554 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 96.91792 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 103.31659 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 110.13771 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 117.40917 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 125.1607 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 133.42399 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 142.23285 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 151.62327 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 161.63367 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 172.30497 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 183.6808 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 195.80768 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 208.7352 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 222.51622 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285-258-287-289-270-273-242-288-261-272-267-286-262-295-243-305-229 495 200 96 237.20707 150 120 180
