data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 25.8 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 27.50335 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 29.31917 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 31.25486 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 33.31836 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 35.51808 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 37.86304 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 40.36282 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 43.02763 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 45.86838 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 48.89668 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 52.12491 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 55.56628 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 59.23485 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 63.14562 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 67.31459 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 71.7588 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 76.49642 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 81.54683 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 86.93068 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 92.66997 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 98.78818 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 105.31033 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 112.26307 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 119.67485 150 120 180
312 312-311-298-300-297-250-254-236-294-239-299-249-292-285 495 200 96 127.57596 150 120 180
