data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 43.8 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 46.69174 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 49.7744 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 53.06058 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 56.56372 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 60.29814 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 64.27912 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 68.52292 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 73.04691 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 77.86958 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 83.01064 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 88.49113 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 94.33345 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 100.56148 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 107.2007 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 114.27826 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 121.82308 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 129.86602 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 138.43997 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 147.57999 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 157.32344 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 167.71017 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 178.78265 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 190.58615 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 203.16893 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 216.58245 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 230.88155 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 246.1247 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 262.37422 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 279.69656 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 298.16255 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 317.84769 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 338.83247 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 361.2027 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 385.04985 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 410.47142 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 437.57136 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 466.46048 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 497.2569 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 530.08655 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 565.08366 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 602.39134 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 642.16212 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 684.55863 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 729.75422 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 777.93369 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179-8-192-178-62-69-73-286-299 495 200 96 829.29405 150 120 180
