data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 34.2 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 36.45794 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 38.86494 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 41.43087 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 44.16619 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 47.08211 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 50.19054 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 53.5042 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 57.03663 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 60.80227 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 64.81653 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 69.09581 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 73.65762 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 78.52061 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 83.70466 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 89.23097 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 95.12213 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 101.40224 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 108.09696 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 115.23369 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 122.84159 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 130.95178 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 139.59741 150 120 180
312 312-311-300-297-298-294-288-289-287-292-274-261-250-272-273-236-189-239-211-308-179 495 200 96 148.81384 150 120 180
