data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 312-311-300-297-298-294-288-289 495 200 96 18.6 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 19.828 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 21.13707 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 22.53258 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 24.02021 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 25.60606 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 27.29661 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 29.09877 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 31.01992 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 33.0679 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 35.25109 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 37.57842 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 40.05941 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 42.70419 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 45.52359 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 48.52912 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 51.73309 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 55.14858 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 58.78958 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 62.67095 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 66.80858 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 71.21939 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 75.9214 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 80.93384 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 86.27722 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 91.97337 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 98.04559 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 104.51871 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 111.41919 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 118.77525 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 126.61697 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 134.97642 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 143.88776 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 153.38745 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 163.51432 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 174.30978 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 185.81797 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 198.08596 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 211.16389 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 225.10525 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 239.96703 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 255.81002 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 272.69898 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 290.70298 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 309.89563 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 330.3554 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 352.16596 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 375.41649 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 400.20205 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 426.624 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 454.79035 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 484.8163 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 516.8246 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 550.94614 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 587.32043 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 626.09621 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 667.43202 152 121 183
312 312-311-300-297-298-294-288-289 495 200 96 711.49115 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 758.46487 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 808.53986 150 120 180
312 312-311-300-297-298-294-288-289 495 200 96 861.92088 157 125 189
312 312-311-300-297-298-294-288-289 495 200 96 918.80024 162 129 195
312 312-311-300-297-298-294-288-289 495 200 96 979.41339 176 140 212
312 312-311-300-297-298-294-288-289 495 200 96 1043.96622 197 157 237
312 312-311-300-297-298-294-288-289 495 200 96 1112.6794 218 174 262
312 312-311-300-297-298-294-288-289 495 200 96 1185.81474 335 268 402
312 312-311-300-297-298-294-288-289 495 200 96 1263.16046 533 426 640
312 312-311-300-297-298-294-288-289 495 200 96 1344.4754 847 677 1017
312 312-311-300-297-298-294-288-289 495 200 96 1429.20915 1309 1047 1571
312 312-311-300-297-298-294-288-289 495 200 96 1516.44316 3600 2879 4321
312 312-311-300-297-298-294-288-289 495 200 96 1594.05896 2880 2303 3457
312 312-311-300-297-298-294-288-289 495 200 96 1680.5838 14400 11519 17281
312 312-311-300-297-298-294-288-289 495 200 384 1680.5838 14400 12959 15841
312 312-311-300-297-298-294-288-289 495 200 1537 1680.5838 10480 9956 11004
312 312-311-300-297-298-294-288-289 495 200 1537 1689.65533 14409 13688 15130
312 312-311-300-297-298-294-288-289 495 200 1537 1691.6375 17735 16848 18622
312 312-311-300-297-298-294-288-289 495 200 1537 1687.57211 15370 14601 16139
