data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
312 312-311-300-297-298-294 495 200 96 16.2 150 120 180
312 312-311-300-297-298-294 495 200 96 17.26955 150 120 180
312 312-311-300-297-298-294 495 200 96 18.40971 150 120 180
312 312-311-300-297-298-294 495 200 96 19.62515 150 120 180
312 312-311-300-297-298-294 495 200 96 20.92083 150 120 180
312 312-311-300-297-298-294 495 200 96 22.30205 150 120 180
312 312-311-300-297-298-294 495 200 96 23.77447 150 120 180
312 312-311-300-297-298-294 495 200 96 25.34409 150 120 180
312 312-311-300-297-298-294 495 200 96 27.01735 150 120 180
312 312-311-300-297-298-294 495 200 96 28.80108 150 120 180
312 312-311-300-297-298-294 495 200 96 30.70257 150 120 180
312 312-311-300-297-298-294 495 200 96 32.7296 150 120 180
312 312-311-300-297-298-294 495 200 96 34.89045 150 120 180
312 312-311-300-297-298-294 495 200 96 37.19397 150 120 180
312 312-311-300-297-298-294 495 200 96 39.64958 150 120 180
312 312-311-300-297-298-294 495 200 96 42.2673 150 120 180
312 312-311-300-297-298-294 495 200 96 45.05785 150 120 180
312 312-311-300-297-298-294 495 200 96 48.03264 150 120 180
312 312-311-300-297-298-294 495 200 96 51.20382 150 120 180
312 312-311-300-297-298-294 495 200 96 54.58438 150 120 180
312 312-311-300-297-298-294 495 200 96 58.18812 150 120 180
312 312-311-300-297-298-294 495 200 96 62.02979 150 120 180
312 312-311-300-297-298-294 495 200 96 66.12509 150 120 180
312 312-311-300-297-298-294 495 200 96 70.49077 150 120 180
312 312-311-300-297-298-294 495 200 96 75.14467 150 120 180
312 312-311-300-297-298-294 495 200 96 80.10584 150 120 180
312 312-311-300-297-298-294 495 200 96 85.39455 150 120 180
312 312-311-300-297-298-294 495 200 96 91.03242 150 120 180
312 312-311-300-297-298-294 495 200 96 97.04252 150 120 180
312 312-311-300-297-298-294 495 200 96 103.44941 150 120 180
312 312-311-300-297-298-294 495 200 96 110.2793 150 120 180
312 312-311-300-297-298-294 495 200 96 117.5601 150 120 180
312 312-311-300-297-298-294 495 200 96 125.3216 150 120 180
312 312-311-300-297-298-294 495 200 96 133.59552 150 120 180
312 312-311-300-297-298-294 495 200 96 142.4157 150 120 180
312 312-311-300-297-298-294 495 200 96 151.8182 150 120 180
312 312-311-300-297-298-294 495 200 96 161.84146 150 120 180
312 312-311-300-297-298-294 495 200 96 172.52648 150 120 180
312 312-311-300-297-298-294 495 200 96 183.91694 150 120 180
312 312-311-300-297-298-294 495 200 96 196.05941 150 120 180
312 312-311-300-297-298-294 495 200 96 209.00355 150 120 180
312 312-311-300-297-298-294 495 200 96 222.80228 150 120 180
312 312-311-300-297-298-294 495 200 96 237.51202 150 120 180
312 312-311-300-297-298-294 495 200 96 253.19292 150 120 180
312 312-311-300-297-298-294 495 200 96 269.9091 150 120 180
312 312-311-300-297-298-294 495 200 96 287.7289 150 120 180
312 312-311-300-297-298-294 495 200 96 306.7252 150 120 180
312 312-311-300-297-298-294 495 200 96 326.97565 150 120 180
312 312-311-300-297-298-294 495 200 96 348.56308 150 120 180
312 312-311-300-297-298-294 495 200 96 371.57574 150 120 180
312 312-311-300-297-298-294 495 200 96 396.10773 150 120 180
312 312-311-300-297-298-294 495 200 96 422.25936 150 120 180
312 312-311-300-297-298-294 495 200 96 450.13755 150 120 180
312 312-311-300-297-298-294 495 200 96 479.85631 150 120 180
312 312-311-300-297-298-294 495 200 96 511.53715 150 120 180
312 312-311-300-297-298-294 495 200 96 545.3096 150 120 180
312 312-311-300-297-298-294 495 200 96 581.31176 150 120 180
312 312-311-300-297-298-294 495 200 96 619.69084 150 120 180
312 312-311-300-297-298-294 495 200 96 660.60376 155 124 186
312 312-311-300-297-298-294 495 200 96 704.20361 158 126 190
312 312-311-300-297-298-294 495 200 96 750.67196 155 124 186
312 312-311-300-297-298-294 495 200 96 800.21631 178 142 214
312 312-311-300-297-298-294 495 200 96 852.95143 206 164 248
312 312-311-300-297-298-294 495 200 96 909.05912 222 177 267
312 312-311-300-297-298-294 495 200 96 968.79506 351 280 422
312 312-311-300-297-298-294 495 200 96 1031.91883 497 397 597
312 312-311-300-297-298-294 495 200 96 1098.50755 800 640 960
312 312-311-300-297-298-294 495 200 96 1167.96158 2057 1645 2469
312 312-311-300-297-298-294 495 200 96 1235.49236 4800 3839 5761
312 312-311-300-297-298-294 495 200 96 1292.35158 3600 2879 4321
312 312-311-300-297-298-294 495 200 96 1358.49775 14400 11519 17281
312 312-311-300-297-298-294 495 200 384 1358.49775 28800 25919 31681
312 312-311-300-297-298-294 495 200 384 1319.64179 9600 8639 10561
312 312-311-300-297-298-294 495 200 384 1336.38563 14400 12959 15841
312 312-311-300-297-298-294 495 200 1537 1336.38563 10024 9522 10526
312 312-311-300-297-298-294 495 200 1537 1344.2545 16468 15644 17292
312 312-311-300-297-298-294 495 200 1537 1342.85532 10480 9956 11004
312 312-311-300-297-298-294 495 200 1537 1350.10385 8539 8112 8966
312 312-311-300-297-298-294 495 200 1537 1360.20931 25617 24336 26898
312 312-311-300-297-298-294 495 200 1537 1345.41228 12134 11527 12741
312 312-311-300-297-298-294 495 200 1537 1350.2818 15370 14601 16139
