data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 1-2 497 200 96 11.4 154 123 185
208 1-2 497 200 96 12.15255 154 123 185
208 1-2 497 200 96 12.95477 154 123 185
208 1-2 497 200 96 13.80995 154 123 185
208 1-2 497 200 96 14.72158 154 123 185
208 1-2 497 200 96 15.69339 154 123 185
208 1-2 497 200 96 16.72936 154 123 185
208 1-2 497 200 96 17.83371 154 123 185
208 1-2 497 200 96 19.01096 154 123 185
208 1-2 497 200 96 20.26592 154 123 185
208 1-2 497 200 96 21.60373 154 123 185
208 1-2 497 200 96 23.02985 154 123 185
208 1-2 497 200 96 24.55012 154 123 185
208 1-2 497 200 96 26.17074 156 124 188
208 1-2 497 200 96 27.89812 154 123 185
208 1-2 497 200 96 29.73975 154 123 185
208 1-2 497 200 96 31.70295 154 123 185
208 1-2 497 200 96 33.79575 159 127 191
208 1-2 497 200 96 36.02598 162 129 195
208 1-2 497 200 96 38.40293 170 136 204
208 1-2 497 200 96 40.93541 205 164 246
208 1-2 497 200 96 43.6288 197 157 237
208 1-2 497 200 96 46.50089 235 188 282
208 1-2 497 200 96 49.55455 269 215 323
208 1-2 497 200 96 52.80158 279 223 335
208 1-2 497 200 96 56.25913 448 358 538
208 1-2 497 200 96 59.90272 510 408 612
208 1-2 497 200 96 63.76651 1056 844 1268
208 1-2 497 200 96 67.73167 1137 909 1365
208 1-2 497 200 96 71.92011 2112 1689 2535
208 1-2 497 200 96 76.06979 3696 2956 4436
208 1-2 497 200 96 79.94725 4928 3942 5914
208 1-2 497 200 96 83.60411 3696 2956 4436
208 1-2 497 200 96 87.86562 14784 11826 17742
208 1-2 497 200 384 87.86562 3942 3547 4337
208 1-2 497 200 384 90.05909 19712 17740 21684
208 1-2 497 200 384 89.29196 4549 4094 5004
208 1-2 497 200 384 91.40596 11827 10644 13010
208 1-2 497 200 384 92.15758 6571 5913 7229
208 1-2 497 200 384 93.9438 5914 5322 6506
208 1-2 497 200 384 95.89567 19712 17740 21684
208 1-2 497 200 384 95.07883 6571 5913 7229
208 1-2 497 200 384 96.92166 5914 5322 6506
208 1-2 497 200 384 98.93541 19712 17740 21684
208 1-2 497 200 384 98.09268 29568 26610 32526
208 1-2 497 200 384 95.20446 8448 7603 9293
208 1-2 497 200 384 96.67033 19712 17740 21684
208 1-2 497 200 384 95.84688 19712 17740 21684
208 1-2 497 200 384 95.03046 6571 5913 7229
208 1-2 497 200 384 96.87235 11827 10644 13010
208 1-2 497 200 384 97.66893 29568 26610 32526
208 1-2 497 200 384 94.79319 14784 13305 16263
208 1-2 497 200 1537 94.79319 13923 13226 14620
208 1-2 497 200 1537 94.97201 8162 7753 8571
208 1-2 497 200 1537 95.73199 11271 10707 11835
208 1-2 497 200 1537 96.18209 12458 11835 13081
208 1-2 497 200 1537 96.51311 8162 7753 8571
208 1-2 497 200 1537 97.28542 9862 9368 10356
208 1-2 497 200 1537 97.88834 14794 14054 15534
208 1-2 497 200 1537 97.98249 11271 10707 11835
208 1-2 497 200 1537 98.44317 19725 18738 20712
208 1-2 497 200 1537 98.02254 8767 8328 9206
208 1-2 497 200 1537 98.74398 10759 10221 11297
208 1-2 497 200 1537 99.26191 13150 12492 13808
208 1-2 497 200 1537 99.53061 9104 8648 9560
208 1-2 497 200 1537 100.22754 18208 17297 19119
208 1-2 497 200 1537 99.96069 13150 12492 13808
208 1-2 497 200 1537 100.23129 13923 13226 14620
208 1-2 497 200 1537 100.42036 21518 20442 22594
208 1-2 497 200 1537 99.80014 15780 14991 16569
