data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 55.8 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 59.48351 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 63.41018 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 67.59606 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 72.05826 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 76.81502 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 81.88579 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 87.2913 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 93.05364 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 99.19636 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 105.74459 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 112.72508 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 120.16637 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 128.09888 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 136.55504 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 145.56941 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 155.17884 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 165.42262 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 176.34262 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 187.98348 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 200.39279 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 213.62127 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 227.72299 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 242.75561 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 258.78057 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 275.86339 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 294.07388 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 313.48651 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 334.18061 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 356.24079 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 379.75722 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 404.82603 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 431.54971 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 460.03748 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 490.40582 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 522.77885 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 557.28891 156 124 188
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 594.07235 156 124 188
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 633.28364 159 127 191
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 675.07499 159 127 191
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 719.6242 174 139 209
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 767.06745 159 127 191
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179-161-166-152-167-189-198-158-103-150-153-123-159-151-93-208-14-25-12-29-62-84 497 200 96 817.68739 178 142 214
