data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 30.6 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 32.61999 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 34.77332 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 37.06881 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 39.51582 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 42.12437 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 44.90511 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 47.86942 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 51.02941 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 54.39801 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 57.98897 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 61.81698 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 65.89769 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 70.24777 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 74.88502 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 79.82839 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 85.09808 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 90.71563 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 96.70402 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 103.08772 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 109.89282 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 117.14715 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 124.88035 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 133.12404 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 141.91193 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 151.27992 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 161.26632 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 171.91195 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 183.26033 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 195.35785 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 208.25396 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 222.00137 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 236.65629 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 252.27862 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 268.93222 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 286.68518 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 305.61005 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 325.7842 156 124 188
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 347.28735 159 127 191
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 370.20536 162 129 195
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 394.63106 170 136 204
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 420.65492 176 140 212
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 448.38421 200 160 240
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 477.89569 227 181 273
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 509.29476 284 227 341
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 542.63356 352 281 423
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 577.99806 477 381 573
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 615.36055 924 739 1109
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 653.97017 1478 1182 1774
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 693.46386 1848 1478 2218
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 734.25308 2464 1971 2957
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 96 775.52091 14784 11826 17742
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 384 775.52091 14784 13305 16263
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 775.52091 7890 7495 8285
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 781.95066 10759 10221 11297
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 786.05216 10759 10221 11297
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 790.17518 11835 11243 12427
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 793.41725 18208 17297 19119
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 791.30484 19725 18738 20712
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 787.92373 8162 7753 8571
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 794.22879 10759 10221 11297
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 798.3947 13923 13226 14620
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 799.9008 13923 13226 14620
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 801.40974 10759 10221 11297
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 805.61332 11835 11243 12427
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 808.91873 16907 16061 17753
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 807.88225 19725 18738 20712
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 804.43031 11835 11243 12427
208 175-171-196-181-172-201-186-170-187-188-174-162-183-194-199-168-200-179 497 200 1537 807.73086 18208 17297 19119
