data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 24.6 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 26.22391 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 27.95503 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 29.80041 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 31.76762 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 33.86469 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 36.10019 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 38.48326 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 41.02365 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 43.73173 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 46.61858 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 49.696 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 52.97657 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 56.4737 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 60.20168 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 64.17576 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 68.41218 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 72.92825 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 77.74245 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 82.87444 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 88.34521 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 94.17712 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 100.39401 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 107.02129 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 114.08606 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 121.61719 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 129.64548 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 138.20373 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 147.32694 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 157.05239 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 167.41985 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 178.47169 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 190.2531 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 202.81222 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 216.20041 154 123 185
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 230.4724 157 125 189
208 175-171-196-181-172-201-186-170-187-188-174-162-183 497 200 96 245.68357 156 124 188
