data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 175-171-196-181-172-201-186-170-187 497 200 96 19.8 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 21.10705 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 22.50039 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 23.9857 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 25.56906 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 27.25694 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 29.05625 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 30.97433 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 33.01903 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 35.19871 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 37.52227 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 39.99922 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 42.63968 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 45.45444 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 48.45501 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 51.65366 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 55.06346 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 58.69835 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 62.57319 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 66.70382 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 71.10712 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 75.80109 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 80.80493 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 86.13909 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 91.82536 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 97.88701 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 104.3488 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 111.23715 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 118.58022 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 126.40802 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 134.75256 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 143.64795 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 153.13054 157 125 189
208 175-171-196-181-172-201-186-170-187 497 200 96 163.23716 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 174.01289 154 123 185
208 175-171-196-181-172-201-186-170-187 497 200 96 185.49996 162 129 195
208 175-171-196-181-172-201-186-170-187 497 200 96 197.73901 159 127 191
208 175-171-196-181-172-201-186-170-187 497 200 96 210.78811 178 142 214
208 175-171-196-181-172-201-186-170-187 497 200 96 224.68133 183 146 220
208 175-171-196-181-172-201-186-170-187 497 200 96 239.48549 192 153 231
208 175-171-196-181-172-201-186-170-187 497 200 96 255.25594 238 190 286
208 175-171-196-181-172-201-186-170-187 497 200 96 272.01504 302 241 363
208 175-171-196-181-172-201-186-170-187 497 200 96 289.80055 296 236 356
208 175-171-196-181-172-201-186-170-187 497 200 96 308.75633 422 337 507
208 175-171-196-181-172-201-186-170-187 497 200 96 328.78682 821 656 986
208 175-171-196-181-172-201-186-170-187 497 200 96 349.55972 1232 985 1479
208 175-171-196-181-172-201-186-170-187 497 200 96 371.03501 1056 844 1268
208 175-171-196-181-172-201-186-170-187 497 200 96 394.10693 7392 5913 8871
208 175-171-196-181-172-201-186-170-187 497 200 96 408.01028 3696 2956 4436
208 175-171-196-181-172-201-186-170-187 497 200 96 428.80755 3696 2956 4436
208 175-171-196-181-172-201-186-170-187 497 200 96 450.6649 4928 3942 5914
208 175-171-196-181-172-201-186-170-187 497 200 96 471.27875 73920 59133 88707
208 175-171-196-181-172-201-186-170-187 497 200 96 354.76984 1643 1314 1972
208 175-171-196-181-172-201-186-170-187 497 200 96 375.94606 2112 1689 2535
208 175-171-196-181-172-201-186-170-187 497 200 96 397.63759 2112 1689 2535
208 175-171-196-181-172-201-186-170-187 497 200 96 420.58068 73920 59133 88707
208 175-171-196-181-172-201-186-170-187 497 200 96 316.60528 616 492 740
208 175-171-196-181-172-201-186-170-187 497 200 96 336.88415 870 696 1044
208 175-171-196-181-172-201-186-170-187 497 200 96 358.09855 1232 985 1479
208 175-171-196-181-172-201-186-170-187 497 200 96 380.09843 2464 1971 2957
208 175-171-196-181-172-201-186-170-187 497 200 96 401.46141 3696 2956 4436
208 175-171-196-181-172-201-186-170-187 497 200 96 421.92486 73920 59133 88707
208 175-171-196-181-172-201-186-170-187 497 200 96 317.61715 591 472 710
208 175-171-196-181-172-201-186-170-187 497 200 96 337.99455 821 656 986
208 175-171-196-181-172-201-186-170-187 497 200 96 359.34921 1344 1075 1613
208 175-171-196-181-172-201-186-170-187 497 200 96 381.25501 3696 2956 4436
208 175-171-196-181-172-201-186-170-187 497 200 96 400.68849 2957 2365 3549
208 175-171-196-181-172-201-186-170-187 497 200 96 422.36991 7392 5913 8871
208 175-171-196-181-172-201-186-170-187 497 200 96 437.27033 14784 11826 17742
208 175-171-196-181-172-201-186-170-187 497 200 384 437.27033 9856 8870 10842
208 175-171-196-181-172-201-186-170-187 497 200 384 442.69583 8448 7603 9293
208 175-171-196-181-172-201-186-170-187 497 200 384 449.51203 59136 53221 65051
208 175-171-196-181-172-201-186-170-187 497 200 384 408.05766 2957 2661 3253
208 175-171-196-181-172-201-186-170-187 497 200 384 419.09775 5914 5322 6506
208 175-171-196-181-172-201-186-170-187 497 200 384 427.80537 8448 7603 9293
208 175-171-196-181-172-201-186-170-187 497 200 384 434.3923 6571 5913 7229
208 175-171-196-181-172-201-186-170-187 497 200 384 442.81176 8448 7603 9293
208 175-171-196-181-172-201-186-170-187 497 200 384 449.62975 19712 17740 21684
208 175-171-196-181-172-201-186-170-187 497 200 384 445.79978 29568 26610 32526
208 175-171-196-181-172-201-186-170-187 497 200 384 432.67377 5914 5322 6506
208 175-171-196-181-172-201-186-170-187 497 200 384 441.66346 9856 8870 10842
208 175-171-196-181-172-201-186-170-187 497 200 384 447.14347 9856 8870 10842
208 175-171-196-181-172-201-186-170-187 497 200 384 452.69146 29568 26610 32526
208 175-171-196-181-172-201-186-170-187 497 200 384 439.36253 29568 26610 32526
208 175-171-196-181-172-201-186-170-187 497 200 384 426.42606 5914 5322 6506
208 175-171-196-181-172-201-186-170-187 497 200 384 435.28594 7392 6652 8132
208 175-171-196-181-172-201-186-170-187 497 200 384 442.96398 11827 10644 13010
208 175-171-196-181-172-201-186-170-187 497 200 384 446.60644 11827 10644 13010
208 175-171-196-181-172-201-186-170-187 497 200 384 450.27886 8448 7603 9293
208 175-171-196-181-172-201-186-170-187 497 200 384 457.21181 29568 26610 32526
208 175-171-196-181-172-201-186-170-187 497 200 384 443.74979 9856 8870 10842
208 175-171-196-181-172-201-186-170-187 497 200 384 449.25568 6571 5913 7229
208 175-171-196-181-172-201-186-170-187 497 200 384 457.96323 59136 53221 65051
208 175-171-196-181-172-201-186-170-187 497 200 384 415.72949 5376 4838 5914
208 175-171-196-181-172-201-186-170-187 497 200 384 424.842 4549 4094 5004
208 175-171-196-181-172-201-186-170-187 497 200 384 434.9002 5376 4838 5914
208 175-171-196-181-172-201-186-170-187 497 200 384 444.43291 11827 10644 13010
208 175-171-196-181-172-201-186-170-187 497 200 384 448.08745 9856 8870 10842
208 175-171-196-181-172-201-186-170-187 497 200 384 453.64716 9856 8870 10842
208 175-171-196-181-172-201-186-170-187 497 200 384 459.27586 295680 266106 325254
208 175-171-196-181-172-201-186-170-187 497 200 384 186.26513 158 142 174
208 175-171-196-181-172-201-186-170-187 497 200 384 192.41148 159 143 175
208 175-171-196-181-172-201-186-170-187 497 200 384 198.76024 164 147 181
208 175-171-196-181-172-201-186-170-187 497 200 384 205.31637 167 150 184
208 175-171-196-181-172-201-186-170-187 497 200 384 212.08746 179 161 197
208 175-171-196-181-172-201-186-170-187 497 200 384 219.07644 178 160 196
208 175-171-196-181-172-201-186-170-187 497 200 384 226.29619 188 169 207
208 175-171-196-181-172-201-186-170-187 497 200 384 233.74907 197 177 217
208 175-171-196-181-172-201-186-170-187 497 200 384 241.44294 210 189 231
208 175-171-196-181-172-201-186-170-187 497 200 384 249.38339 219 197 241
208 175-171-196-181-172-201-186-170-187 497 200 384 257.58021 223 200 246
208 175-171-196-181-172-201-186-170-187 497 200 384 266.04426 246 221 271
208 175-171-196-181-172-201-186-170-187 497 200 384 274.77345 290 261 319
208 175-171-196-181-172-201-186-170-187 497 200 384 283.76339 389 350 428
208 175-171-196-181-172-201-186-170-187 497 200 384 292.98781 429 386 472
208 175-171-196-181-172-201-186-170-187 497 200 384 302.4872 422 379 465
208 175-171-196-181-172-201-186-170-187 497 200 384 312.29909 591 531 651
208 175-171-196-181-172-201-186-170-187 497 200 384 322.3172 643 578 708
208 175-171-196-181-172-201-186-170-187 497 200 384 332.62108 870 783 957
