data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 204-205-206-207-208 497 200 96 15 154 123 185
208 204-205-206-207-208 497 200 96 15.99019 154 123 185
208 204-205-206-207-208 497 200 96 17.04575 154 123 185
208 204-205-206-207-208 497 200 96 18.17098 154 123 185
208 204-205-206-207-208 497 200 96 19.3705 154 123 185
208 204-205-206-207-208 497 200 96 20.6492 154 123 185
208 204-205-206-207-208 497 200 96 22.01231 154 123 185
208 204-205-206-207-208 497 200 96 23.4654 154 123 185
208 204-205-206-207-208 497 200 96 25.01442 154 123 185
208 204-205-206-207-208 497 200 96 26.66569 154 123 185
208 204-205-206-207-208 497 200 96 28.42596 154 123 185
208 204-205-206-207-208 497 200 96 30.30244 154 123 185
208 204-205-206-207-208 497 200 96 32.30279 154 123 185
208 204-205-206-207-208 497 200 96 34.43518 154 123 185
208 204-205-206-207-208 497 200 96 36.70834 154 123 185
208 204-205-206-207-208 497 200 96 39.13156 154 123 185
208 204-205-206-207-208 497 200 96 41.71474 154 123 185
208 204-205-206-207-208 497 200 96 44.46845 154 123 185
208 204-205-206-207-208 497 200 96 47.40393 154 123 185
208 204-205-206-207-208 497 200 96 50.53319 154 123 185
208 204-205-206-207-208 497 200 96 53.86903 154 123 185
208 204-205-206-207-208 497 200 96 57.42507 154 123 185
208 204-205-206-207-208 497 200 96 61.21586 154 123 185
208 204-205-206-207-208 497 200 96 65.25688 154 123 185
208 204-205-206-207-208 497 200 96 69.56467 154 123 185
208 204-205-206-207-208 497 200 96 74.15682 154 123 185
208 204-205-206-207-208 497 200 96 79.05212 154 123 185
208 204-205-206-207-208 497 200 96 84.27057 154 123 185
208 204-205-206-207-208 497 200 96 89.8335 154 123 185
208 204-205-206-207-208 497 200 96 95.76365 154 123 185
208 204-205-206-207-208 497 200 96 102.08527 154 123 185
208 204-205-206-207-208 497 200 96 108.8242 154 123 185
208 204-205-206-207-208 497 200 96 116.00799 154 123 185
208 204-205-206-207-208 497 200 96 123.66599 154 123 185
208 204-205-206-207-208 497 200 96 131.82952 154 123 185
208 204-205-206-207-208 497 200 96 140.53195 154 123 185
208 204-205-206-207-208 497 200 96 149.80885 161 128 194
208 204-205-206-207-208 497 200 96 159.69369 159 127 191
208 204-205-206-207-208 497 200 96 170.23211 162 129 195
208 204-205-206-207-208 497 200 96 181.46382 170 136 204
208 204-205-206-207-208 497 200 96 193.43041 178 142 214
208 204-205-206-207-208 497 200 96 206.17957 195 156 234
208 204-205-206-207-208 497 200 96 219.75416 205 164 246
208 204-205-206-207-208 497 200 96 234.21314 231 184 278
208 204-205-206-207-208 497 200 96 249.59761 242 193 291
208 204-205-206-207-208 497 200 96 265.98096 308 246 370
208 204-205-206-207-208 497 200 96 283.36516 422 337 507
208 204-205-206-207-208 497 200 96 301.7484 510 408 612
208 204-205-206-207-208 497 200 96 321.2115 870 696 1044
208 204-205-206-207-208 497 200 96 341.43896 1478 1182 1774
208 204-205-206-207-208 497 200 96 362.05868 2464 1971 2957
208 204-205-206-207-208 497 200 96 382.40776 3696 2956 4436
208 204-205-206-207-208 497 200 96 401.9 7392 5913 8871
208 204-205-206-207-208 497 200 96 416.07828 7392 5913 8871
208 204-205-206-207-208 497 200 96 430.75675 14784 11826 17742
208 204-205-206-207-208 497 200 384 430.75675 8448 7603 9293
208 204-205-206-207-208 497 200 384 437.38912 11827 10644 13010
208 204-205-206-207-208 497 200 384 440.98574 6571 5913 7229
208 204-205-206-207-208 497 200 384 449.533 295680 266106 325254
208 204-205-206-207-208 497 200 384 182.31379 164 147 181
208 204-205-206-207-208 497 200 384 188.32743 169 152 186
208 204-205-206-207-208 497 200 384 194.53744 169 152 186
208 204-205-206-207-208 497 200 384 200.95222 184 165 203
208 204-205-206-207-208 497 200 384 207.57212 189 170 208
208 204-205-206-207-208 497 200 384 214.4079 187 168 206
208 204-205-206-207-208 497 200 384 221.4697 196 176 216
208 204-205-206-207-208 497 200 384 228.75987 229 206 252
208 204-205-206-207-208 497 200 384 236.27397 232 208 256
208 204-205-206-207-208 497 200 384 244.03339 255 229 281
208 204-205-206-207-208 497 200 384 252.03572 287 258 316
208 204-205-206-207-208 497 200 384 260.28333 291 261 321
208 204-205-206-207-208 497 200 384 268.79863 318 286 350
208 204-205-206-207-208 497 200 384 277.5771 411 369 453
208 204-205-206-207-208 497 200 384 286.58745 448 403 493
208 204-205-206-207-208 497 200 384 295.86778 497 447 547
208 204-205-206-207-208 497 200 384 305.41784 672 604 740
208 204-205-206-207-208 497 200 384 315.16268 758 682 834
208 204-205-206-207-208 497 200 384 325.16089 1232 1108 1356
208 204-205-206-207-208 497 200 384 335.14906 954 858 1050
208 204-205-206-207-208 497 200 384 345.64186 1344 1209 1479
208 204-205-206-207-208 497 200 384 356.17697 1848 1663 2033
208 204-205-206-207-208 497 200 384 366.65205 2464 2217 2711
208 204-205-206-207-208 497 200 384 376.95567 3112 2800 3424
208 204-205-206-207-208 497 200 384 387.03023 2688 2419 2957
208 204-205-206-207-208 497 200 384 397.72245 7392 6652 8132
208 204-205-206-207-208 497 200 384 404.73791 4224 3801 4647
208 204-205-206-207-208 497 200 384 414.59942 7392 6652 8132
208 204-205-206-207-208 497 200 384 421.91257 9856 8870 10842
