data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 206-207-208 497 200 96 12.6 154 123 185
208 206-207-208 497 200 96 13.43176 154 123 185
208 206-207-208 497 200 96 14.31843 154 123 185
208 206-207-208 497 200 96 15.26363 154 123 185
208 206-207-208 497 200 96 16.27122 154 123 185
208 206-207-208 497 200 96 17.34533 154 123 185
208 206-207-208 497 200 96 18.49034 154 123 185
208 206-207-208 497 200 96 19.71094 154 123 185
208 206-207-208 497 200 96 21.01211 154 123 185
208 206-207-208 497 200 96 22.39918 154 123 185
208 206-207-208 497 200 96 23.87781 154 123 185
208 206-207-208 497 200 96 25.45405 154 123 185
208 206-207-208 497 200 96 27.13434 154 123 185
208 206-207-208 497 200 96 28.92555 154 123 185
208 206-207-208 497 200 96 30.83501 154 123 185
208 206-207-208 497 200 96 32.87051 154 123 185
208 206-207-208 497 200 96 35.04038 154 123 185
208 206-207-208 497 200 96 37.3535 154 123 185
208 206-207-208 497 200 96 39.8193 154 123 185
208 206-207-208 497 200 96 42.44788 154 123 185
208 206-207-208 497 200 96 45.24998 154 123 185
208 206-207-208 497 200 96 48.23706 154 123 185
208 206-207-208 497 200 96 51.42132 154 123 185
208 206-207-208 497 200 96 54.81578 154 123 185
208 206-207-208 497 200 96 58.43432 154 123 185
208 206-207-208 497 200 96 62.29173 154 123 185
208 206-207-208 497 200 96 66.40378 154 123 185
208 206-207-208 497 200 96 70.78728 154 123 185
208 206-207-208 497 200 96 75.46014 154 123 185
208 206-207-208 497 200 96 80.44147 154 123 185
208 206-207-208 497 200 96 85.75163 156 124 188
208 206-207-208 497 200 96 91.4116 156 124 188
208 206-207-208 497 200 96 97.44515 157 125 189
208 206-207-208 497 200 96 103.87654 157 125 189
208 206-207-208 497 200 96 110.73239 162 129 195
208 206-207-208 497 200 96 118.03837 166 132 200
208 206-207-208 497 200 96 125.82439 170 136 204
208 206-207-208 497 200 96 134.12186 208 166 250
208 206-207-208 497 200 96 142.94486 197 157 237
208 206-207-208 497 200 96 152.35494 227 181 273
208 206-207-208 497 200 96 162.36508 251 200 302
208 206-207-208 497 200 96 173.01636 308 246 370
208 206-207-208 497 200 96 184.32451 329 263 395
208 206-207-208 497 200 96 196.3553 616 492 740
208 206-207-208 497 200 96 208.93205 924 739 1109
208 206-207-208 497 200 96 222.04109 986 788 1184
208 206-207-208 497 200 96 235.91418 1137 909 1365
208 206-207-208 497 200 96 250.50279 2957 2365 3549
208 206-207-208 497 200 96 264.0576 2464 1971 2957
208 206-207-208 497 200 96 278.89865 4928 3942 5914
208 206-207-208 497 200 96 291.65574 2957 2365 3549
208 206-207-208 497 200 96 307.43735 73920 59133 88707
208 206-207-208 497 200 96 231.4331 924 739 1109
208 206-207-208 497 200 96 245.95392 1344 1075 1613
208 206-207-208 497 200 96 260.94719 2957 2365 3549
208 206-207-208 497 200 96 275.06715 3696 2956 4436
208 206-207-208 497 200 96 289.08798 3696 2956 4436
208 206-207-208 497 200 96 303.82349 14784 11826 17742
208 206-207-208 497 200 384 303.82349 14784 13305 16263
208 206-207-208 497 200 1537 303.82349 14794 14054 15534
208 206-207-208 497 200 1537 304.1157 16907 16061 17753
208 206-207-208 497 200 1537 303.72604 10291 9776 10806
208 206-207-208 497 200 1537 305.47004 13150 12492 13808
208 206-207-208 497 200 1537 306.29695 15780 14991 16569
