data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 47.4 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 50.529 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 53.86456 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 57.42031 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 61.21078 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 65.25147 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 69.5589 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 74.15067 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 79.04556 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 84.26358 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 89.82605 154 123 185
208 207-204-200-197-208-187-194-181-171-175-188-189-199-162-64-146-101-110-42-196-84-123-127-143-183-14-53-82-91-112-126-195 497 200 96 95.75571 154 123 185
