data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 207-204-200-197-208-187-194 497 200 96 17.4 154 123 185
208 207-204-200-197-208-187-194 497 200 96 18.54862 154 123 185
208 207-204-200-197-208-187-194 497 200 96 19.77307 154 123 185
208 207-204-200-197-208-187-194 497 200 96 21.07834 154 123 185
208 207-204-200-197-208-187-194 497 200 96 22.46978 154 123 185
208 207-204-200-197-208-187-194 497 200 96 23.95307 154 123 185
208 207-204-200-197-208-187-194 497 200 96 25.53428 154 123 185
208 207-204-200-197-208-187-194 497 200 96 27.21987 154 123 185
208 207-204-200-197-208-187-194 497 200 96 29.01673 154 123 185
208 207-204-200-197-208-187-194 497 200 96 30.9322 154 123 185
208 207-204-200-197-208-187-194 497 200 96 32.97412 154 123 185
208 207-204-200-197-208-187-194 497 200 96 35.15083 154 123 185
208 207-204-200-197-208-187-194 497 200 96 37.47123 154 123 185
208 207-204-200-197-208-187-194 497 200 96 39.94481 154 123 185
208 207-204-200-197-208-187-194 497 200 96 42.58168 154 123 185
208 207-204-200-197-208-187-194 497 200 96 45.39261 154 123 185
208 207-204-200-197-208-187-194 497 200 96 48.3891 154 123 185
208 207-204-200-197-208-187-194 497 200 96 51.5834 154 123 185
208 207-204-200-197-208-187-194 497 200 96 54.98856 154 123 185
208 207-204-200-197-208-187-194 497 200 96 58.61851 154 123 185
208 207-204-200-197-208-187-194 497 200 96 62.48807 154 123 185
208 207-204-200-197-208-187-194 497 200 96 66.61308 154 123 185
208 207-204-200-197-208-187-194 497 200 96 71.01039 154 123 185
208 207-204-200-197-208-187-194 497 200 96 75.69799 154 123 185
208 207-204-200-197-208-187-194 497 200 96 80.69502 154 123 185
208 207-204-200-197-208-187-194 497 200 96 86.02192 154 123 185
208 207-204-200-197-208-187-194 497 200 96 91.70046 154 123 185
208 207-204-200-197-208-187-194 497 200 96 97.75386 154 123 185
208 207-204-200-197-208-187-194 497 200 96 104.20686 154 123 185
208 207-204-200-197-208-187-194 497 200 96 111.08584 154 123 185
208 207-204-200-197-208-187-194 497 200 96 118.41892 154 123 185
208 207-204-200-197-208-187-194 497 200 96 126.23607 154 123 185
208 207-204-200-197-208-187-194 497 200 96 134.56926 154 123 185
208 207-204-200-197-208-187-194 497 200 96 143.45255 154 123 185
208 207-204-200-197-208-187-194 497 200 96 152.92224 154 123 185
208 207-204-200-197-208-187-194 497 200 96 163.01706 154 123 185
208 207-204-200-197-208-187-194 497 200 96 173.77826 162 129 195
208 207-204-200-197-208-187-194 497 200 96 185.24394 157 125 189
208 207-204-200-197-208-187-194 497 200 96 197.47004 162 129 195
208 207-204-200-197-208-187-194 497 200 96 210.49887 164 131 197
208 207-204-200-197-208-187-194 497 200 96 224.38554 172 137 207
208 207-204-200-197-208-187-194 497 200 96 239.18069 180 144 216
208 207-204-200-197-208-187-194 497 200 96 254.94326 200 160 240
208 207-204-200-197-208-187-194 497 200 96 271.72296 235 188 282
208 207-204-200-197-208-187-194 497 200 96 289.56668 336 268 404
208 207-204-200-197-208-187-194 497 200 96 308.45799 336 268 404
208 207-204-200-197-208-187-194 497 200 96 328.58176 411 328 494
208 207-204-200-197-208-187-194 497 200 96 349.91376 821 656 986
208 207-204-200-197-208-187-194 497 200 96 372.02147 1056 844 1268
208 207-204-200-197-208-187-194 497 200 96 395.15473 2957 2365 3549
208 207-204-200-197-208-187-194 497 200 96 416.53672 4928 3942 5914
208 207-204-200-197-208-187-194 497 200 96 435.58951 3696 2956 4436
208 207-204-200-197-208-187-194 497 200 96 457.79255 7392 5913 8871
208 207-204-200-197-208-187-194 497 200 96 473.94262 14784 11826 17742
208 207-204-200-197-208-187-194 497 200 384 473.94262 14784 13305 16263
208 207-204-200-197-208-187-194 497 200 1537 473.94262 23670 22486 24854
208 207-204-200-197-208-187-194 497 200 1537 469.93272 12458 11835 13081
208 207-204-200-197-208-187-194 497 200 1537 471.55005 14794 14054 15534
208 207-204-200-197-208-187-194 497 200 1537 472.00358 11835 11243 12427
208 207-204-200-197-208-187-194 497 200 1537 473.9402 16907 16061 17753
208 207-204-200-197-208-187-194 497 200 1537 473.33293 15780 14991 16569
