data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 207-204-200-197 497 200 96 13.8 154 123 185
208 207-204-200-197 497 200 96 14.71098 154 123 185
208 207-204-200-197 497 200 96 15.68209 154 123 185
208 207-204-200-197 497 200 96 16.71731 154 123 185
208 207-204-200-197 497 200 96 17.82086 154 123 185
208 207-204-200-197 497 200 96 18.99726 154 123 185
208 207-204-200-197 497 200 96 20.25133 154 123 185
208 207-204-200-197 497 200 96 21.58817 154 123 185
208 207-204-200-197 497 200 96 23.01327 154 123 185
208 207-204-200-197 497 200 96 24.53243 154 123 185
208 207-204-200-197 497 200 96 26.15189 154 123 185
208 207-204-200-197 497 200 96 27.87824 154 123 185
208 207-204-200-197 497 200 96 29.71856 154 123 185
208 207-204-200-197 497 200 96 31.68037 154 123 185
208 207-204-200-197 497 200 96 33.77168 154 123 185
208 207-204-200-197 497 200 96 36.00104 154 123 185
208 207-204-200-197 497 200 96 38.37756 154 123 185
208 207-204-200-197 497 200 96 40.91097 154 123 185
208 207-204-200-197 497 200 96 43.61162 154 123 185
208 207-204-200-197 497 200 96 46.49054 154 123 185
208 207-204-200-197 497 200 96 49.55951 154 123 185
208 207-204-200-197 497 200 96 52.83107 154 123 185
208 207-204-200-197 497 200 96 56.31859 154 123 185
208 207-204-200-197 497 200 96 60.03633 154 123 185
208 207-204-200-197 497 200 96 63.9995 154 123 185
208 207-204-200-197 497 200 96 68.22428 154 123 185
208 207-204-200-197 497 200 96 72.72795 156 124 188
208 207-204-200-197 497 200 96 77.5283 154 123 185
208 207-204-200-197 497 200 96 82.64616 154 123 185
208 207-204-200-197 497 200 96 88.10186 156 124 188
208 207-204-200-197 497 200 96 93.91695 156 124 188
208 207-204-200-197 497 200 96 100.11587 159 127 191
208 207-204-200-197 497 200 96 106.72267 168 134 202
208 207-204-200-197 497 200 96 113.76138 176 140 212
208 207-204-200-197 497 200 96 121.26045 185 148 222
208 207-204-200-197 497 200 96 129.24923 180 144 216
208 207-204-200-197 497 200 96 137.76705 208 166 250
208 207-204-200-197 497 200 96 146.82984 269 215 323
208 207-204-200-197 497 200 96 156.45078 242 193 291
208 207-204-200-197 497 200 96 166.72007 400 320 480
208 207-204-200-197 497 200 96 177.55156 569 455 683
208 207-204-200-197 497 200 96 188.95934 569 455 683
208 207-204-200-197 497 200 96 201.10008 704 563 845
208 207-204-200-197 497 200 96 213.90559 1478 1182 1774
208 207-204-200-197 497 200 96 226.82349 3696 2956 4436
208 207-204-200-197 497 200 96 238.38522 7392 5913 8871
208 207-204-200-197 497 200 96 246.79501 2957 2365 3549
208 207-204-200-197 497 200 96 260.14919 3696 2956 4436
208 207-204-200-197 497 200 96 273.40962 14784 11826 17742
208 207-204-200-197 497 200 384 273.40962 11827 10644 13010
208 207-204-200-197 497 200 384 275.65784 5376 4838 5914
208 207-204-200-197 497 200 384 281.70008 11827 10644 13010
208 207-204-200-197 497 200 384 284.01648 14784 13305 16263
208 207-204-200-197 497 200 1537 284.01648 14794 14054 15534
208 207-204-200-197 497 200 1537 284.28964 19725 18738 20712
208 207-204-200-197 497 200 1537 283.07492 19725 18738 20712
208 207-204-200-197 497 200 1537 281.86539 23670 22486 24854
208 207-204-200-197 497 200 1537 279.48061 18208 17297 19119
208 207-204-200-197 497 200 1537 278.73651 12458 11835 13081
208 207-204-200-197 497 200 1537 279.69581 11835 11243 12427
208 207-204-200-197 497 200 1537 280.8434 18208 17297 19119
208 207-204-200-197 497 200 1537 280.09567 12458 11835 13081
208 207-204-200-197 497 200 1537 281.05966 18208 17297 19119
208 207-204-200-197 497 200 1537 280.31136 18208 17297 19119
208 207-204-200-197 497 200 1537 279.56505 19725 18738 20712
208 207-204-200-197 497 200 1537 278.37052 12458 11835 13081
208 207-204-200-197 497 200 1537 279.32856 13150 12492 13808
208 207-204-200-197 497 200 1537 280.08471 11835 11243 12427
208 207-204-200-197 497 200 1537 281.23389 13923 13226 14620
208 207-204-200-197 497 200 1537 281.76441 19725 18738 20712
208 207-204-200-197 497 200 1537 280.56048 16907 16061 17753
208 207-204-200-197 497 200 1537 280.20099 16907 16061 17753
