data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 36.6 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 39.01607 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 41.59162 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 44.3372 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 47.26402 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 50.38405 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 53.71004 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 57.25558 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 61.03518 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 65.06428 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 69.35935 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 73.93795 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 78.8188 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 84.02185 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 89.56836 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 95.48101 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 101.78397 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 108.50301 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 115.66559 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202-206-199-162-174-193-205 497 200 96 123.301 154 123 185
