data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 29.4 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 31.34077 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 33.40966 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 35.61513 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 37.96618 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 40.47243 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 43.14413 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 45.99219 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 49.02826 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 52.26475 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 55.71489 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 59.39278 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 63.31346 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 67.49296 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 71.94835 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 76.69786 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 81.7609 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 87.15816 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 92.91171 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 99.04506 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 105.5833 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 112.55314 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 119.98308 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 127.90349 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 136.34675 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 145.34738 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 154.94215 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 165.17031 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 176.07365 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 187.69676 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 200.08714 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 213.29544 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 227.37565 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 242.38534 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 258.38586 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 275.44262 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 293.62534 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 313.00835 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 333.67089 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 355.69742 156 124 188
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 379.17496 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 404.20534 157 125 189
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 430.88289 162 129 195
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 459.31202 166 132 200
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 489.60905 195 156 234
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 521.84425 192 153 231
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 556.20841 251 200 302
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 592.69616 251 200 302
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 631.57753 389 311 467
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 672.63946 462 369 555
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 716.16251 569 455 683
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 762.17633 1344 1075 1613
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 808.63834 3696 2956 4436
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 849.85658 73920 59133 88707
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 639.75616 477 381 573
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 681.11075 739 591 887
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 724.38081 986 788 1184
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 769.64 2112 1689 2535
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 814.04708 4928 3942 5914
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 851.28239 7392 5913 8871
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 881.31404 73920 59133 88707
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 663.43675 548 438 658
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 706.12207 704 563 845
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 751.086 1344 1075 1613
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 796.87195 1344 1075 1613
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 845.449 2957 2365 3549
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 891.19658 73920 59133 88707
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 670.87614 591 472 710
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 713.91761 704 563 845
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 759.37794 1056 844 1268
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 806.59803 1848 1478 2218
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 854.04175 4928 3942 5914
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 893.10646 7392 5913 8871
208 207-204-200-208-197-175-171-181-196-172-187-201-170-186-194-188-202 497 200 96 924.61358 7392 5913 8871
