data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 22.2 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 23.66548 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 25.22771 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 26.89306 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 28.66834 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 30.56082 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 32.57822 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 34.7288 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 37.02134 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 39.46522 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 42.07043 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 44.84761 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 47.80812 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 50.96407 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 54.32835 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 57.91471 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 61.73782 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 65.8133 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 70.15782 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 74.78913 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 79.72616 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 84.98911 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 90.59947 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 96.58019 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 102.95571 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 109.7521 154 123 185
208 207-204-200-208-197-175-171-181-196-172-187 497 200 96 116.99714 154 123 185
